repo_url,repo_name,owner,full_name,stars,size_kb,language,description,last_updated,frameworks,matched_patterns,api_url,has_openapi,has_swagger,has_validators,validator_libraries,has_typescript
https://github.com/IceWhaleTech/CasaOS-App-UI,CasaOS-App-UI,IceWhaleTech,IceWhaleTech/CasaOS-App-UI,10,6457,Vue,,2025-10-16T09:57:10Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/IceWhaleTech/CasaOS-App-UI,False,False,False,,True
https://github.com/Emilgardis/RCON-Web-Admin,RCON-Web-Admin,Emilgardis,Emilgardis/RCON-Web-Admin,10,822,JavaScript,"Self hosted, online RCON administration tool for your game server.",2025-08-01T13:40:14Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Emilgardis/RCON-Web-Admin,False,False,False,,False
https://github.com/Ammarillo/DreamSignage,DreamSignage,Ammarillo,Ammarillo/DreamSignage,8,5616,JavaScript,"A Node.js-based digital signage solution. Supports various file formats for seamless viewing on all devices. Features include fullscreen view, responsive design, offline capability, websockets integration, and cross-platform deployment. Elevate your display experience with DreamSignage.",2024-12-31T05:29:16Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Ammarillo/DreamSignage,False,False,False,,False
https://github.com/gsajith/peterson-generator,peterson-generator,gsajith,gsajith/peterson-generator,8,4045,JavaScript, Generate a Jordan 🅱️Peterson quote.,2024-06-09T02:45:19Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/gsajith/peterson-generator,False,False,False,,False
https://github.com/VArtzy/NodeJS-OWASP-API-Security,NodeJS-OWASP-API-Security,VArtzy,VArtzy/NodeJS-OWASP-API-Security,8,121,JavaScript,NodeJS API Guide with addressing top 10 OWASP security risk on API development.,2025-07-30T16:28:26Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/VArtzy/NodeJS-OWASP-API-Security,False,False,False,,False
https://github.com/coding-blocks-archives/Pitampura_Webdev_2017_Winter,Pitampura_Webdev_2017_Winter,coding-blocks-archives,coding-blocks-archives/Pitampura_Webdev_2017_Winter,7,3100,JavaScript,,2023-03-30T06:41:26Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/coding-blocks-archives/Pitampura_Webdev_2017_Winter,False,False,False,,False
https://github.com/HayaseDB/HayaseDB-api,HayaseDB-api,HayaseDB,HayaseDB/HayaseDB-api,7,687,TypeScript,"HayaseDB is an open-source anime database designed for fans and developers alike. It offers comprehensive information on anime titles, characters, episode summaries, and more, all in one easy-to-navigate platform.",2025-09-28T16:04:53Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/HayaseDB/HayaseDB-api,False,False,True,"joi,class-validator",True
https://github.com/DanielArturoAlejoAlvarez/stack-mean-app,stack-mean-app,DanielArturoAlejoAlvarez,DanielArturoAlejoAlvarez/stack-mean-app,7,2887,TypeScript,"Software of Development with MongoDB,Express,Angular and NodeJS",2023-12-08T00:31:04Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/DanielArturoAlejoAlvarez/stack-mean-app,False,False,False,,False
https://github.com/possan/mjpeg-motiontracker,mjpeg-motiontracker,possan,possan/mjpeg-motiontracker,6,491,C++,Streams images from a mjpeg stream and sends osc messages if there's motion in defined areas. ,2024-09-01T14:41:08Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/possan/mjpeg-motiontracker,False,False,False,,False
https://github.com/AkshatRauthan/Full_Stack_Development,Full_Stack_Development,AkshatRauthan,AkshatRauthan/Full_Stack_Development,6,19530,JavaScript,,2025-09-08T19:52:53Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/AkshatRauthan/Full_Stack_Development,False,False,True,joi,False
https://github.com/zamd/self-service-password-reset,self-service-password-reset,zamd,zamd/self-service-password-reset,6,1990,JavaScript,auth0 ad-connector self-service-password reset solution ,2024-04-30T03:34:25Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/zamd/self-service-password-reset,False,False,False,,False
https://github.com/AlwarG/ember-mirage-gen,ember-mirage-gen,AlwarG,AlwarG/ember-mirage-gen,6,475,JavaScript,The addon will give the complete mirage section after receiving the network call,2021-12-15T05:05:53Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/AlwarG/ember-mirage-gen,False,False,False,,False
https://github.com/wishy-gift/todo-react-redux-noscript,todo-react-redux-noscript,wishy-gift,wishy-gift/todo-react-redux-noscript,6,995,JavaScript,"Using React, Redux and SSR to accommodate users without JavaScript",2023-05-09T06:22:21Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/wishy-gift/todo-react-redux-noscript,False,False,False,,False
https://github.com/3vot/3vot-salesforce-proxy,3vot-salesforce-proxy,3vot,3vot/3vot-salesforce-proxy,5,324,JavaScript,"A Production Proxy Server written in NodeJS with clustering that translates standard REST to Salesforce Rest API. It makes it easy work with Salesforce Data in Javascript, and includes stateless oauth2 and password based login. To be consumed by BackboneJS, SpineJS, Angular, Ember, etc. ",2018-09-04T18:51:02Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/3vot/3vot-salesforce-proxy,False,False,False,,False
https://github.com/fahmiffa/whiskeysockets,whiskeysockets,fahmiffa,fahmiffa/whiskeysockets,5,195,HTML,whatsapp unofficial rest api send message with whiskeysockets,2025-03-25T16:51:59Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/fahmiffa/whiskeysockets,False,False,False,,False
https://github.com/Zaplavs/my-app,my-app,Zaplavs,Zaplavs/my-app,5,51887,JavaScript,,2025-10-17T10:29:47Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Zaplavs/my-app,False,False,False,,False
https://github.com/jirka124/quasar-hybrid-render,quasar-hybrid-render,jirka124,jirka124/quasar-hybrid-render,5,2234,JavaScript,A extension giving an easy access to widely used rendering techniques on web in your Quasar.js app.,2025-10-17T07:57:01Z,Express,"language:JavaScript ""app.get("" | language:JavaScript ""app.get("" | language:JavaScript ""app.get("" | language:JavaScript ""app.get(""",https://api.github.com/repos/jirka124/quasar-hybrid-render,False,False,False,,False
https://github.com/letscodeshivansh/MakeMyWork-MERN,MakeMyWork-MERN,letscodeshivansh,letscodeshivansh/MakeMyWork-MERN,5,39375,CSS,,2024-12-02T07:51:53Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/letscodeshivansh/MakeMyWork-MERN,False,False,False,,False
https://github.com/kobawan/idle-chicken-farm,idle-chicken-farm,kobawan,kobawan/idle-chicken-farm,5,8457,TypeScript,🐔🐓,2024-04-02T21:24:07Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/kobawan/idle-chicken-farm,False,False,False,,True
https://github.com/CaptEmulation/morpheus,morpheus,CaptEmulation,CaptEmulation/morpheus,5,761,JavaScript,The development for this repo has moved to https://github.com/soap-bubble/web,2021-01-02T18:56:35Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/CaptEmulation/morpheus,False,False,False,,False
https://github.com/lyklecharova/SoftUni--JavaScript--Back-End,SoftUni--JavaScript--Back-End,lyklecharova,lyklecharova/SoftUni--JavaScript--Back-End,5,2771,JavaScript,,2024-02-26T19:58:08Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/lyklecharova/SoftUni--JavaScript--Back-End,False,False,False,,False
https://github.com/drewbharris/node-multi,node-multi,drewbharris,drewbharris/node-multi,5,232,JavaScript,Multi-channel audio using node.js,2021-08-01T16:52:26Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/drewbharris/node-multi,False,False,False,,False
https://github.com/martinsookael/multiverse,multiverse,martinsookael,martinsookael/multiverse,4,79703,JavaScript,A chatroom for the most dynamic conversation. Also the world's fastest meme generator,2015-05-01T15:09:12Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/martinsookael/multiverse,False,False,False,,False
https://github.com/fahizp/PROJECT-E-C0MMERCE,PROJECT-E-C0MMERCE,fahizp,fahizp/PROJECT-E-C0MMERCE,4,16156,EJS,,2023-08-24T09:02:31Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/fahizp/PROJECT-E-C0MMERCE,False,False,False,,False
https://github.com/alphaKAI/HarmonyQuartet,HarmonyQuartet,alphaKAI,alphaKAI/HarmonyQuartet,4,304,JavaScript,Harmony Quartet is one of the Twitter's client. Wriiten in JavaScript(Node.js).,2019-08-13T15:32:01Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/alphaKAI/HarmonyQuartet,False,False,False,,False
https://github.com/globant-ui/angular-bootcamp,angular-bootcamp,globant-ui,globant-ui/angular-bootcamp,4,20260,TypeScript,Angular Bootcamp 2018.,2021-06-17T06:23:54Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/globant-ui/angular-bootcamp,False,False,False,,False
https://github.com/YuYanDev/Cesium-RevitModel-Server,Cesium-RevitModel-Server,YuYanDev,YuYanDev/Cesium-RevitModel-Server,4,8624,JavaScript,A demo server that uses Cesium to load Revit,2019-11-06T03:51:50Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/YuYanDev/Cesium-RevitModel-Server,False,False,False,,False
https://github.com/weizhenwei/tech-docs-2016,tech-docs-2016,weizhenwei,weizhenwei/tech-docs-2016,4,318804,C++,tech docs at startup of sharetome,2020-12-13T10:37:44Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/weizhenwei/tech-docs-2016,False,False,False,,False
